ModemTime,Longitude,Latitude
2022-05-09 04:26:38.000,"438,587,566","2,042,146"
2022-05-09 04:27:02.000,"4,385,872","20,421,425"
2022-05-09 04:27:32.000,"438,579,699","204,207,166"
2022-05-09 04:28:02.000,"438,570,133","204,194,533"
2022-05-09 04:28:32.000,"438,561,683","204,159,449"
2022-05-09 04:29:02.000,"438,540,716","204,126,183"
2022-05-09 04:29:32.000,"438,516,383","204,114,966"
2022-05-09 04:29:39.000,"438,514,566","204,111,583"
2022-05-09 04:30:08.000,"438,528,116","204,062,533"
2022-05-09 04:30:38.000,"438,554,033","204,004,283"
2022-05-09 04:31:08.000,"438,569,783","20,394,105"
2022-05-09 04:31:38.000,"438,581,316","203,923,383"
2022-05-09 04:32:08.000,"438,605,683","203,886,733"
2022-05-09 04:32:38.000,"4,386,294","20,385,055"
2022-05-09 04:33:09.000,"438,649,966","203,807,333"
2022-05-09 04:33:39.000,"438,663,049","203,763"
2022-05-09 04:34:09.000,"438,667,566","203,724,416"
